                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 2.1175,                 2.4325,                 1.9389,                0.28057,                   0.31,                0.23479,                0.09043,                 1.9462,                 2.2403,                 1.9743,             0.00019813,             0.00019813,             0.00019813
                     88,                 2.1077,                 2.4821,                 1.9209,                 0.2878,                0.32933,                0.24785,                 0.0947,                 1.9442,                 2.2442,                 1.9687,             0.00018575,             0.00018575,             0.00018575
                     89,                 2.1298,                 2.4906,                 1.9546,                 0.2962,                0.30375,                0.25229,                0.09792,                 1.9469,                 2.2307,                 1.9897,             0.00017338,             0.00017338,             0.00017338
                     90,                 2.1317,                 2.4568,                  1.926,                0.30431,                0.31783,                0.25331,                0.10005,                 1.9358,                 2.2149,                 1.9594,               0.000161,               0.000161,               0.000161
                     91,                 2.0843,                 2.4832,                 2.0435,                0.29097,                 0.3106,                0.23274,                0.09003,                 1.9374,                 2.2351,                 1.9668,             0.00014862,             0.00014862,             0.00014862
                     92,                 2.0345,                 2.4009,                 1.9859,                0.31418,                0.30304,                0.24846,                 0.0984,                 1.9242,                 2.2312,                 1.9549,             0.00013625,             0.00013625,             0.00013625
                     93,                 2.0454,                 2.3991,                 2.0198,                0.31405,                0.32456,                0.25513,                0.10059,                  1.918,                 2.1872,                 1.9441,             0.00012387,             0.00012387,             0.00012387
                     94,                 2.0258,                 2.4082,                 2.0005,                0.29795,                0.31591,                0.24992,                0.10006,                 1.9184,                 2.1852,                 1.9559,              0.0001115,              0.0001115,              0.0001115
                     95,                 1.9907,                 2.4153,                  1.978,                0.30473,                0.32086,                0.26104,                0.10504,                 1.9078,                 2.1721,                 1.9434,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                 1.9867,                 2.3508,                 1.9529,                 0.3101,                0.33536,                0.26041,                0.10481,                 1.9051,                 2.1636,                 1.9513,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                 1.9898,                 2.3522,                 1.9797,                0.30276,                0.34525,                0.26119,                0.10516,                 1.9008,                  2.171,                 1.9463,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                 1.9889,                 2.3362,                 1.9452,                0.32269,                0.32971,                0.27748,                0.11089,                  1.896,                 2.1424,                 1.9341,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                 2.0067,                 2.3366,                 2.0003,                0.31264,                0.32572,                0.27806,                0.11135,                 1.8902,                  2.138,                 1.9334,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                 1.9998,                 2.3161,                 1.9728,                0.30629,                0.33319,                0.27631,                0.11222,                 1.8903,                 2.1325,                 1.9326,              3.725e-05,              3.725e-05,              3.725e-05
